ID,Avg_Temperature,Radiation,Rain_Amount,Wind_Speed,Wind_Direction
84961,25.692263,19.698465,7.727246,14.023913,133.61543
84962,25.692263,19.698465,7.727246,14.023913,133.61543
84963,25.692263,19.698465,7.727246,14.023913,133.61543
84964,25.692263,19.698465,7.727246,14.023913,133.61543
84965,25.692263,19.698465,7.727246,14.023913,133.61543
84966,25.692263,19.698465,7.727246,14.023913,133.61543
84967,25.692263,19.698465,7.727246,14.023913,133.61543
84968,25.692263,19.698465,7.727246,14.023913,133.61543
84969,25.692263,19.698465,7.727246,14.023913,133.61543
84970,25.692263,19.698465,7.727246,14.023913,133.61543
84971,25.692263,19.698465,7.727246,14.023913,133.61543
84972,25.692263,19.698465,7.727246,14.023913,133.61543
84973,25.692263,19.698465,7.727246,14.023913,133.61543
84974,25.692263,19.698465,7.727246,14.023913,133.61543
84975,25.692263,19.698465,7.727246,14.023913,133.61543
84976,25.692263,19.698465,7.727246,14.023913,133.61543
84977,25.692263,19.698465,7.727246,14.023913,133.61543
84978,25.692263,19.698465,7.727246,14.023913,133.61543
84979,25.692263,19.698465,7.727246,14.023913,133.61543
84980,25.692263,19.698465,7.727246,14.023913,133.61543
84981,25.692263,19.698465,7.727246,14.023913,133.61543
84982,25.692263,19.698465,7.727246,14.023913,133.61543
84983,25.692263,19.698465,7.727246,14.023913,133.61543
84984,25.692263,19.698465,7.727246,14.023913,133.61543
84985,25.692263,19.698465,7.727246,14.023913,133.61543
84986,25.692263,19.698465,7.727246,14.023913,133.61543
84987,25.692263,19.698465,7.727246,14.023913,133.61543
84988,25.692263,19.698465,7.727246,14.023913,133.61543
84989,25.692263,19.698465,7.727246,14.023913,133.61543
84990,25.692263,19.698465,7.727246,14.023913,133.61543
84991,25.692263,19.698465,7.727246,14.023913,133.61543
84992,25.692263,19.698465,7.727246,14.023913,133.61543
84993,25.692263,19.698465,7.727246,14.023913,133.61543
84994,25.692263,19.698465,7.727246,14.023913,133.61543
84995,25.692263,19.698465,7.727246,14.023913,133.61543
84996,25.692263,19.698465,7.727246,14.023913,133.61543
84997,25.692263,19.698465,7.727246,14.023913,133.61543
84998,25.692263,19.698465,7.727246,14.023913,133.61543
84999,25.692263,19.698465,7.727246,14.023913,133.61543
85000,25.692263,19.698465,7.727246,14.023913,133.61543
85001,25.692263,19.698465,7.727246,14.023913,133.61543
85002,25.692263,19.698465,7.727246,14.023913,133.61543
85003,25.692263,19.698465,7.727246,14.023913,133.61543
85004,25.692263,19.698465,7.727246,14.023913,133.61543
85005,25.692263,19.698465,7.727246,14.023913,133.61543
85006,25.692263,19.698465,7.727246,14.023913,133.61543
85007,25.692263,19.698465,7.727246,14.023913,133.61543
85008,25.692263,19.698465,7.727246,14.023913,133.61543
85009,25.692263,19.698465,7.727246,14.023913,133.61543
85010,25.692263,19.698465,7.727246,14.023913,133.61543
85011,25.692263,19.698465,7.727246,14.023913,133.61543
85012,25.692263,19.698465,7.727246,14.023913,133.61543
85013,25.692263,19.698465,7.727246,14.023913,133.61543
85014,25.692263,19.698465,7.727246,14.023913,133.61543
85015,25.692263,19.698465,7.727246,14.023913,133.61543
85016,25.692263,19.698465,7.727246,14.023913,133.61543
85017,25.692263,19.698465,7.727246,14.023913,133.61543
85018,25.692263,19.698465,7.727246,14.023913,133.61543
85019,25.692263,19.698465,7.727246,14.023913,133.61543
85020,25.692263,19.698465,7.727246,14.023913,133.61543
85021,25.692263,19.698465,7.727246,14.023913,133.61543
85022,25.692263,19.698465,7.727246,14.023913,133.61543
85023,25.692263,19.698465,7.727246,14.023913,133.61543
85024,25.692263,19.698465,7.727246,14.023913,133.61543
85025,25.692263,19.698465,7.727246,14.023913,133.61543
85026,25.692263,19.698465,7.727246,14.023913,133.61543
85027,25.692263,19.698465,7.727246,14.023913,133.61543
85028,25.692263,19.698465,7.727246,14.023913,133.61543
85029,25.692263,19.698465,7.727246,14.023913,133.61543
85030,25.692263,19.698465,7.727246,14.023913,133.61543
85031,25.692263,19.698465,7.727246,14.023913,133.61543
85032,25.692263,19.698465,7.727246,14.023913,133.61543
85033,25.692263,19.698465,7.727246,14.023913,133.61543
85034,25.692263,19.698465,7.727246,14.023913,133.61543
85035,25.692263,19.698465,7.727246,14.023913,133.61543
85036,25.692263,19.698465,7.727246,14.023913,133.61543
85037,25.692263,19.698465,7.727246,14.023913,133.61543
85038,25.692263,19.698465,7.727246,14.023913,133.61543
85039,25.692263,19.698465,7.727246,14.023913,133.61543
85040,25.692263,19.698465,7.727246,14.023913,133.61543
85041,25.692263,19.698465,7.727246,14.023913,133.61543
85042,25.692263,19.698465,7.727246,14.023913,133.61543
85043,25.692263,19.698465,7.727246,14.023913,133.61543
85044,25.692263,19.698465,7.727246,14.023913,133.61543
85045,25.692263,19.698465,7.727246,14.023913,133.61543
85046,25.692263,19.698465,7.727246,14.023913,133.61543
85047,25.692263,19.698465,7.727246,14.023913,133.61543
85048,25.692263,19.698465,7.727246,14.023913,133.61543
85049,25.692263,19.698465,7.727246,14.023913,133.61543
85050,25.692263,19.698465,7.727246,14.023913,133.61543
85051,25.692263,19.698465,7.727246,14.023913,133.61543
85052,25.692263,19.698465,7.727246,14.023913,133.61543
85053,25.692263,19.698465,7.727246,14.023913,133.61543
85054,25.692263,19.698465,7.727246,14.023913,133.61543
85055,25.692263,19.698465,7.727246,14.023913,133.61543
85056,25.692263,19.698465,7.727246,14.023913,133.61543
85057,25.692263,19.698465,7.727246,14.023913,133.61543
85058,25.692263,19.698465,7.727246,14.023913,133.61543
